name,url,img,price,rating,"number of ratings"
"Samsung UE49MU8009 TV",product.php?id=2006624479,https://m.media-amazon.com/images/I/A1GrEnE5qiL._AC_UY218_ML3_.jpg,"$1239,49",-,0
UE49RU8000,product.php?id=2006624480,https://m.media-amazon.com/images/I/71yVbKuJnxL._AC_UY218_ML3_.jpg,"$954,66",-,0
"Samsung 65NU8000 65-Inch Dynamic Crystal Colour Ultra HD Smart 4K TV - Slate Black/Eclipse Silver (2018 Model) + FREE Amazon High-Speed 0.9M HDMI 2.0 cable + Amazon High-Speed HDMI 2.0 cable",product.php?id=2006624481,https://m.media-amazon.com/images/I/61143x-x4+L._AC_UY218_ML3_.jpg,"$1317,15",-,0
"Samsung 55-Inch M6320 Smart Full HD Curved TV - Dark Titan",product.php?id=2006624482,https://m.media-amazon.com/images/I/71IOs8BgQRL._AC_UY218_ML3_.jpg,"$688,82",★★★★☆,61
"Samsung Series 5 F5500 32-inch Widescreen Full HD Smart LED TV (discontinued by manufacturer)                                           [Energy Class A]",product.php?id=2006624483,https://m.media-amazon.com/images/I/816uwf6oXmL._AC_UY218_ML3_.jpg,"$357,62",★★★☆☆,183
"Samsung LE-19D450G1WXZT- TV",product.php?id=2006624484,https://m.media-amazon.com/images/I/41mogxy+J+L._AC_UY218_ML3_.jpg,"$215,49",-,0
"Samsung 55"" Ultra HD 4K Smart Curved Screen LED TV                                           [Energy Class A+]",product.php?id=2006624485,https://m.media-amazon.com/images/I/51QSo5bzYYL._AC_UY218_ML3_.jpg,"$942,34",★★★★★,3
"Samsung HG55ED890UBXXU 55-Inch Smart Ultra Slim Commercial TV - Black",product.php?id=2006624486,https://m.media-amazon.com/images/I/81Wab-kErDL._AC_UY218_ML3_.jpg,"$821,22",-,0
"Samsung HG55EC890XBXXU 55-Inch LED Smart Hotel TV - Black",product.php?id=2006624487,https://m.media-amazon.com/images/I/41gtYsPiIFL._AC_UY218_ML3_.jpg,"$1095,57",-,0
"Samsung LE32A568 TV",product.php?id=2006624488,https://m.media-amazon.com/images/I/312Z-pc0yjL._AC_UY218_ML3_.jpg,"$630,01",-,0
"LG 55SM8500PLA 55 Inch UHD 4K HDR Smart NanoCell LED TV with Freeview Play - Black (2019 Model)#:55 Inch 2019 Model",product.php?id=2006628062,https://m.media-amazon.com/images/I/81iHjvXW4wL._AC_UY218_ML3_.jpg,"$679,00",★★★★☆,181
"LG 49SM8500PLA 49 Inch UHD 4K HDR Smart NanoCell LED TV with Freeview Play - Black (2019 Model)#:49 Inch 2019 Model",product.php?id=2006628063,https://m.media-amazon.com/images/I/81iHjvXW4wL._AC_UY218_ML3_.jpg,"$523,91",★★★★☆,181
"LG Electronics 50UM7500PLA 50-Inch UHD 4K HDR Smart LED TV with Freeview Play - Dark Meteor Titan colour (2019 Model)#:50 Inch 2019 Model",product.php?id=2006628064,https://m.media-amazon.com/images/I/81gfzdh5sUL._AC_UY218_ML3_.jpg,"$379,00",★★★★☆,250
"LG 65SM8500PLA 65 Inch UHD 4K HDR Smart NanoCell LED TV with Freeview Play - Black (2019 Model)#:65 Inch 2019 Model",product.php?id=2006628065,https://m.media-amazon.com/images/I/81iHjvXW4wL._AC_UY218_ML3_.jpg,"$929,00",★★★★☆,180
"LG 49SM8600PLA TV                                           [Energy Class A++]",product.php?id=2006628066,https://m.media-amazon.com/images/I/718+ebz7rRL._AC_UY218_ML3_.jpg,"$579,00",★★★★☆,3
"Samsung UE49MU8009 TV",product.php?id=2006624479,https://m.media-amazon.com/images/I/A1GrEnE5qiL._AC_UY218_ML3_.jpg,"$1239,49",-,0
